pc6_label_count,count
0,26531
1,26279
2,27800
3,29436
4,30292
5,30010
6,28570
7,25787
8,23880
9,19987
10,18307
11,15413
12,15339
13,11826
14,11592
15,9900
16,10548
17,7234
18,8792
19,5610
20,6885
21,4869
22,4459
23,3431
24,6515
25,2944
26,2143
27,1821
28,1840
29,1330
30,1558
31,1038
32,1119
33,865
34,829
35,730
36,904
37,592
38,591
39,518
40,605
41,429
42,454
43,377
44,355
45,312
46,313
47,268
48,363
49,264
50,272
51,203
52,230
53,186
54,226
55,175
56,194
57,157
58,170
59,130
60,185
61,130
62,126
63,135
64,136
65,112
66,132
67,104
68,91
69,95
70,110
71,78
72,108
73,68
74,83
75,62
76,75
77,60
78,60
79,56
80,92
81,63
82,58
83,58
84,60
85,49
86,46
87,40
88,41
89,35
90,45
91,30
92,41
93,45
94,30
95,24
96,35
97,24
98,34
99,37
100,25
101,20
102,29
103,31
104,33
105,25
106,31
107,22
108,24
109,16
110,18
111,18
112,12
113,25
114,21
115,17
116,15
117,22
118,16
119,20
120,14
121,13
122,12
123,12
124,21
125,13
126,7
127,9
128,19
129,6
130,16
131,11
132,13
133,6
134,11
135,8
136,11
137,8
138,10
139,10
140,6
141,9
142,13
143,7
144,10
145,5
146,6
147,8
148,7
149,11
150,11
151,10
152,5
153,8
154,4
155,5
156,7
157,5
158,7
159,7
160,9
161,3
162,5
163,3
164,6
165,3
166,1
168,5
169,3
170,4
171,6
172,5
173,1
174,1
175,8
176,2
177,3
178,5
179,3
180,2
181,3
182,3
183,5
184,3
185,2
186,6
187,1
188,2
189,1
190,1
191,7
192,5
193,1
195,3
196,3
197,5
198,2
199,4
200,1
201,4
202,2
203,2
204,2
205,2
207,9
208,2
209,2
210,1
211,1
212,3
214,1
215,3
216,2
217,3
218,5
219,1
220,2
221,8
222,1
223,1
224,4
225,2
226,1
227,3
228,2
229,1
230,3
231,1
232,1
233,5
234,1
235,2
236,4
238,1
239,1
240,3
241,1
242,3
243,2
244,1
245,2
246,1
248,2
249,2
250,3
251,1
252,1
253,1
254,2
255,2
257,2
259,1
260,2
261,1
263,2
265,1
266,2
268,1
269,1
270,3
271,3
274,1
276,2
277,1
278,1
279,2
281,2
282,1
285,1
289,1
290,1
291,1
292,1
294,1
296,2
297,2
298,1
300,1
301,1
302,4
304,1
307,1
308,1
310,1
311,3
313,1
314,1
321,1
324,1
327,1
328,1
330,1
331,2
333,1
334,1
335,2
340,2
341,1
347,1
348,2
354,1
355,2
357,2
358,2
364,1
368,1
373,1
374,1
378,1
381,1
382,1
395,1
399,1
408,1
412,1
418,1
419,2
420,1
422,1
428,1
431,1
441,2
451,1
453,1
455,1
465,1
476,1
481,1
487,1
494,1
498,1
500,1
501,1
503,2
507,1
513,1
520,1
551,1
553,1
566,1
576,1
577,1
580,1
584,1
585,1
596,2
617,1
622,1
632,1
662,1
677,1
699,1
707,1
721,1
723,1
873,1
925,1
1047,1
